Date,Symbols,Close,High,Low,Open,Volume
2021-08-19,PFE,48.375,49.525,47.84,48.078,58248418
2021-08-19,BNTX,331.81,355.3,330.96,348.7,4638911
2021-08-19,MRNA,375.53,394.9199,375.0,385.0,14254720
2021-08-19,AMZN,3187.75,3233.0,3182.4637,3194.02,3782862
2021-08-18,AAPL.US,146.15,150.5,145.94,149.58,86451980
2021-08-18,GOOGL,2708.98,2742.085,2706.43,2730.0,962947
2021-08-18,FB,355.45,359.86,355.15,356.25,10042381
2021-08-18,PFE,48.881,51.409,48.742,49.793,89375680
2021-08-18,BNTX,363.99,374.8,347.03,368.46,4801646
2021-08-18,MRNA,398.8,413.3,386.21,406.5,19121805
2021-08-18,AMZN,3201.22,3254.0975,3200.0,3241.99,2804311
2021-08-17,AAPL.US,149.97,151.46,148.87,150.01,92364341
2021-08-17,GOOGL,2733.23,2765.31,2721.64,2755.0,1085760
2021-08-17,FB,358.45,364.67,355.07,362.98,12328737
2021-08-17,PFE,49.981,50.051,48.286,48.356,69421059
2021-08-17,BNTX,366.27,366.9499,320.0,322.0,8101604
2021-08-17,MRNA,401.86,402.49,358.5501,361.0,25982136
